Actual,1,2,3,4,5,All
1,659,9,7,16,0,691
2,26,271,240,25,122,684
3,15,115,399,34,94,657
4,1,5,13,535,131,685
5,0,23,92,112,506,733
All,701,423,751,722,853,3450
