Actual,0,1,2,3,4,All
1,648,30,3,10,0,691
2,18,180,432,2,52,684
3,6,109,490,10,42,657
4,2,7,10,484,182,685
5,0,29,104,65,535,733
All,674,355,1039,571,811,3450
