,0
0,0.05851539553721606
1,0.052959314290351556
2,0.05142283168157518
3,0.0495628306808007
4,0.04512750251578779
5,0.04183149861925074
6,0.04041196923540176
7,0.03890075947581715
8,0.03665612921066295
9,0.033500682440094076
10,0.03300985459132791
11,0.03085786585344209
12,0.029628639604841838
13,0.02896513586032604
14,0.026699294896233374
15,0.024036870519814717
16,0.022372536564910953
17,0.020754353287488304
18,0.020144226316130803
19,0.018911550135192214
20,0.018568892045012587
21,0.01776000369766883
22,0.017579631035157278
23,0.017399234894095245
24,0.016863362354587613
25,0.01644438456326752
26,0.014839093967262847
27,0.014522995797549287
28,0.013808867906597985
29,0.013715511316088062
30,0.013184650532621307
31,0.012507316799692872
32,0.011971642565251893
33,0.011080565341319723
34,0.010799991507960162
35,0.009172132818290593
36,0.008010301371800683
37,0.006540595431528312
38,0.005807131311384273
39,0.0053420735437397235
40,0.004631168024815947
41,0.004387385376738413
42,0.0035364363434576144
43,0.002981357930924222
44,0.002529158874602924
45,0.0021924771254987286
46,0.002034432184290115
47,0.0017454794852308302
48,0.0016198944772050133
49,0.0013954375052190862
50,0.0011546745026113005
51,0.0010893238381269594
52,0.0009106151815750906
53,0.0008807071115343264
54,0.0007910092407817297
55,0.0006999288030955623
56,0.0006562722485601577
57,0.00059921477403975
58,0.0005219674321702872
59,0.0004685023134543181
